job Title,adresse company,time,Domaine,Fonction,Contrat,Entreprise,salaire,Niveau_etude
Responsable Commercial,Marrakech,04 Déc  16:09,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : A discuter,Entreprise : 2BCOM Agency,Salaire : Commission,Niveau d'études : Pas important
Technicien(ne) Support IT / Helpdesk,Casablanca,04 Déc  12:25,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : ManpowerGroup Maroc,Salaire : 4 000 - 6 000 DH,Niveau d'études : Bac plus 2
Chef de Projet,Casablanca,04 Déc  12:24,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : A discuter,Entreprise : Ago IT Solutions,Salaire : A discuter,Niveau d'études : Bac plus 3
Responsable Marketing,Casablanca,04 Déc  12:14,Domaine : Informatique / Multimédia / Internet,Fonction : Marketing/Communication,Contrat : A discuter,Entreprise : Ago IT Solutions,Salaire : A discuter,Niveau d'études : Bac plus 3
Technicien Bac+3 en Système et Réseau Informatique,Rabat,01 Déc  16:33,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : A discuter,Entreprise : hws,Salaire : A discuter,Niveau d'études : Bac plus 3
SUPPORT IT,Casablanca,30 Nov  16:42,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : A discuter,Entreprise : NORLAY,Salaire : 4 000 - 6 000 DH,Niveau d'études : Bac plus 3
QA Engineer,Marrakech,30 Nov  12:58,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : CDI,Entreprise : STRYVE,Salaire : A discuter,Niveau d'études : Pas important
Commercial en informatique (F) Bac+2,Casablanca,30 Nov  11:43,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : A discuter,Entreprise : Arone,Salaire : A discuter,Niveau d'études : Bac plus 2
Profil IT (BAC + 2)maîtrisant Sql;langage Python),Casablanca,27 Nov  14:23,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : CDD,Entreprise : Anonyme,Salaire : A discuter,Niveau d'études : Bac plus 2
Webmaster Internship offer,Bouskoura,27 Nov  11:56,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial/Technico-Commercial,Contrat : Stage,Entreprise : SD MAROC,Salaire : A discuter,Niveau d'études : Bac plus 2
"Stage en seo""",Agadir,27 Nov  11:02,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Assistante technico-commerciale,Casablanca,24 Nov  15:46,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial/Technico-Commercial,Contrat : CDI,Entreprise : AP,Salaire : A discuter,Niveau d'études : Pas important
Chief of Service Department,Casablanca,24 Nov  15:19,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : A discuter,Entreprise : eLeader Ltd,Salaire : A discuter,Niveau d'études : Bac plus 5
Agent IT ODO,Casablanca,24 Nov  13:44,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : CDI,Entreprise : TECMACO SERVICES,Salaire : A discuter,Niveau d'études : Bac plus 4
CHEF DE LA DIVISION EXPLOITATION & SUPPORT,Rabat,21 Nov  09:26,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : Fédération Royale Marocaine de Football,Salaire : A discuter,Niveau d'études : Bac plus 5
